id,border,type,personorfreight,validfrom,validto,updatedby
1,Air,Commercial,Person,2019-01-01 00:01:00+00,,
2,Air,Commercial,Freight,2019-01-01 00:01:00+00,,
3,Air,General,Person,2019-01-01 00:01:00+00,,
4,Air,General,Freight,2019-01-01 00:01:00+00,,
5,Land,Commercial,Person,2019-01-01 00:01:00+00,,
6,Land,Commercial,Freight,2019-01-01 00:01:00+00,,
7,Land,General,Person,2019-01-01 00:01:00+00,,
8,Land,General,Freight,2019-01-01 00:01:00+00,,
9,Rail,Commercial,Person,2019-01-01 00:01:00+00,,
10,Rail,Commercial,Freight,2019-01-01 00:01:00+00,,
11,Rail,General,Person,2019-01-01 00:01:00+00,,
12,Rail,General,Freight,2019-01-01 00:01:00+00,,
13,Sea,Commercial,Person,2019-01-01 00:01:00+00,,
14,Sea,Commercial,Freight,2019-01-01 00:01:00+00,,
15,Sea,General,Person,2019-01-01 00:01:00+00,,
16,Sea,General,Freight,2019-01-01 00:01:00+00,,
