id,name,directorateid,code,validfrom,validto
1,Strategy and Policy,5,BFSTRP,2019-01-01 00:01:00+00,
2,People Capability,5,BFPPLC,2019-01-01 00:01:00+00,
3,Business Planning,5,BFBPLN,2019-01-01 00:01:00+00,
4,Industry Partnerships,5,BFINDPAR,2019-01-01 00:01:00+00,
5,Transformation and Change,5,BFTRANCH,2019-01-01 00:01:00+00,
6,BF EU Exit Policy,4,BFEUP,2019-01-01 00:01:00+00,
7,BF EU Exit Delivery,4,BFEUD,2019-01-01 00:01:00+00,
8,EU Exit Systems and Contingencies,3,BFEUX,2019-01-01 00:01:00+00,
9,Data Protection Assurance,3,BFGDPR,2019-01-01 00:01:00+00,
10,Architecture and Engineering,3,BFARCHEN,2019-01-01 00:01:00+00,
11,Border Systems Technology Projects,6,BFBSTP,2019-01-01 00:01:00+00,
12,Digital Passenger Services,3,BFDIGPAS,2019-01-01 00:01:00+00,
13,Crossing The Border,3,BFCRSBR,2019-01-01 00:01:00+00,
14,Border Systems Portfolio,3,BFBSYSP,2019-01-01 00:01:00+00,
15,Digital Services at the Border,6,DDATDSER,2019-01-01 00:01:00+00,
16,Detection Services,3,BFDETSER,2019-01-01 00:01:00+00,
17,Intelligence,2,BFINTEL,2019-01-01 00:01:00+00,
18,South East and Europe,2,BFSEEU,2019-01-01 00:01:00+00,
19,Heathrow,2,BFHROW,2019-01-01 00:01:00+00,
20,National Operations,2,BFNATOPS,2019-01-01 00:01:00+00,
21,South,2,BFSOUTH,2019-01-01 00:01:00+00,
22,North,2,BFNORTH,2019-01-01 00:01:00+00,
23,Central,2,BFCENT,2019-01-01 00:01:00+00,
24,Logistics,2,BFLOGIST,2019-01-01 00:01:00+00,
25,Human Resources,2,HUMRE,2019-01-01 00:01:00+00,
