id,name,ministryid,code,validfrom,validto,updatedby
1,Border Force,1,BFO,2019-01-01 00:01:00+00,,
2,"Digital, Data and Technology",1,DDAT,2019-01-01 00:01:00+00,,
3,Immigration Enforcement,1,IMMG,2019-01-01 00:01:00+00,,
4,Police and Public Protection Technologies,1,PPPT,2019-01-01 00:01:00+00,,
5,Capabilities and Resources,1,CAPRES,2019-01-01 00:01:00+00,,
6,Her Majesty's Passport Office,1,HMPO,2019-01-01 00:01:00+00,,
7,Office for Security and Counter-Terrorism,1,OSCT,2019-01-01 00:01:00+00,,
9,Communication Directorate,1,COMDIR,2019-01-01 00:01:00+00,,
10,"Crime, Policing and Fire Group",1,CPFG,2019-01-01 00:01:00+00,,
11,Europe Directorate,1,EUDIR,2019-01-01 00:01:00+00,,
12,Home Office Legal Advisers,1,HOLA,2019-01-01 00:01:00+00,,
13,Home Office Science,1,HOSCI,2019-01-01 00:01:00+00,,
14,International Directorate,1,INTDIR,2019-01-01 00:01:00+00,,
15,Private Office Group,1,POG,2019-01-01 00:01:00+00,,
16,Serious and Organised Crime Group,1,SOCG,2019-01-01 00:01:00+00,,
17,Strategy Directorate,1,STRATD,2019-01-01 00:01:00+00,,
18,UK Visas and Immigration,1,UKVI,2019-01-01 00:01:00+00,,
19,Disclosure and Barring Service,1,DBS,2019-01-01 00:01:00+00,,
