id,name,carrierid,validfrom,validto
1,Anglia Seaways,,2019-01-01 00:01:00+00,
2,Ark Dania,,2019-01-01 00:01:00+00,
3,Ark Forwarder,,2019-01-01 00:01:00+00,
4,Ark Futura,,2019-01-01 00:01:00+00,
5,Ark Germania,,2019-01-01 00:01:00+00,
6,Armorique,,2019-01-01 00:01:00+00,
7,Arrow,,2019-01-01 00:01:00+00,
8,Barfleur,,2019-01-01 00:01:00+00,
9,Berlioz,,2019-01-01 00:01:00+00,
10,Bore Song,,2019-01-01 00:01:00+00,
11,Bretagne,,2019-01-01 00:01:00+00,
12,Britannia Seaways,,2019-01-01 00:01:00+00,
13,Cap Finistere,,2019-01-01 00:01:00+00,
14,Clementine,,2019-01-01 00:01:00+00,
15,Clipper Pace,,2019-01-01 00:01:00+00,
16,Clipper Pennant,,2019-01-01 00:01:00+00,
17,Clipper Point,,2019-01-01 00:01:00+00,
18,Clipper Ranger,,2019-01-01 00:01:00+00,
19,Condor Vitesse,,2019-01-01 00:01:00+00,
20,Cote d'Albatre,,2019-01-01 00:01:00+00,
21,Cotentin,,2019-01-01 00:01:00+00,
22,Dana Sirena,,2019-01-01 00:01:00+00,
23,Delft Seaways,,2019-01-01 00:01:00+00,
24,Dover Seaways,,2019-01-01 00:01:00+00,
25,Dunkerque Seaways,,2019-01-01 00:01:00+00,
26,Eglantine,,2019-01-01 00:01:00+00,
27,European Causeway,,2019-01-01 00:01:00+00,
28,European Endeavour,,2019-01-01 00:01:00+00,
29,European Highlander,,2019-01-01 00:01:00+00,
30,European Seaway,,2019-01-01 00:01:00+00,
31,European Trader,,2019-01-01 00:01:00+00,
32,Express,,2019-01-01 00:01:00+00,
33,Flandria Seaways,,2019-01-01 00:01:00+00,
34,Gardenia,,2019-01-01 00:01:00+00,
35,Hafnia Seaways,,2019-01-01 00:01:00+00,
36,Humber Viking,,2019-01-01 00:01:00+00,
37,Isle of Inishmore,,2019-01-01 00:01:00+00,
38,Jonathan Swift,,2019-01-01 00:01:00+00,
39,Julia,,2019-01-01 00:01:00+00,
40,King Seaways,,2019-01-01 00:01:00+00,
41,Larkspur,,2019-01-01 00:01:00+00,
42,Maas Viking,,2019-01-01 00:01:00+00,
43,Melusine,,2019-01-01 00:01:00+00,
44,MN Pelican,,2019-01-01 00:01:00+00,
45,Moliere,,2019-01-01 00:01:00+00,
46,Mont St. Michel,,2019-01-01 00:01:00+00,
47,Norbank,,2019-01-01 00:01:00+00,
48,Norbay,,2019-01-01 00:01:00+00,
49,Nord Pas de Calais,,2019-01-01 00:01:00+00,
50,Norman Arrow,,2019-01-01 00:01:00+00,
51,Norman Spirit,,2019-01-01 00:01:00+00,
52,Norman Voyager,,2019-01-01 00:01:00+00,
53,Normandie,,2019-01-01 00:01:00+00,
54,Normandie Express,,2019-01-01 00:01:00+00,
55,Norqueen,,2019-01-01 00:01:00+00,
56,Norsky,,2019-01-01 00:01:00+00,
57,Norstream,,2019-01-01 00:01:00+00,
58,Palatine,,2019-01-01 00:01:00+00,
59,Pauline,,2019-01-01 00:01:00+00,
60,Peregrine,,2019-01-01 00:01:00+00,
61,Phocine,,2019-01-01 00:01:00+00,
62,Pont-Aven,,2019-01-01 00:01:00+00,
63,Pride of Bruges,,2019-01-01 00:01:00+00,
64,Pride of Burgundy,,2019-01-01 00:01:00+00,
65,Pride of Calais,,2019-01-01 00:01:00+00,
66,Pride of Canterbury,,2019-01-01 00:01:00+00,
67,Pride of Hull,,2019-01-01 00:01:00+00,
68,Pride of Kent,,2019-01-01 00:01:00+00,
69,Pride of Rotterdam,,2019-01-01 00:01:00+00,
70,Pride of York,,2019-01-01 00:01:00+00,
71,Princess Seaways,,2019-01-01 00:01:00+00,
72,Rodin,,2019-01-01 00:01:00+00,
73,Seatruck Panorama,,2019-01-01 00:01:00+00,
74,Seatruck Power,,2019-01-01 00:01:00+00,
75,Seatruck Progess,,2019-01-01 00:01:00+00,
76,Selandia Seaways,,2019-01-01 00:01:00+00,
77,Spirit of Britain,,2019-01-01 00:01:00+00,
78,Spirit of France,,2019-01-01 00:01:00+00,
79,Stena Adventurer,,2019-01-01 00:01:00+00,
80,Stena Britannica,,2019-01-01 00:01:00+00,
81,Stena Carrier,,2019-01-01 00:01:00+00,
82,Stena Europe,,2019-01-01 00:01:00+00,
83,Stena Explorer,,2019-01-01 00:01:00+00,
84,Stena Freighter,,2019-01-01 00:01:00+00,
85,Stena Hibernia,,2019-01-01 00:01:00+00,
86,Stena Hollandica,,2019-01-01 00:01:00+00,
87,Stena Lagan,,2019-01-01 00:01:00+00,
88,Stena Mersey,,2019-01-01 00:01:00+00,
89,Stena Nordica,,2019-01-01 00:01:00+00,
90,Stena Scotia,,2019-01-01 00:01:00+00,
91,Stena Superfast VII,,2019-01-01 00:01:00+00,
92,Stena Superfast VIII,,2019-01-01 00:01:00+00,
93,Stena Transit,,2019-01-01 00:01:00+00,
94,Stena Transporter,,2019-01-01 00:01:00+00,
95,Suecia Seaways,,2019-01-01 00:01:00+00,
96,Symphorine,,2019-01-01 00:01:00+00,
97,Tor Begonia,,2019-01-01 00:01:00+00,
98,Tor Dania,,2019-01-01 00:01:00+00,
99,Tor Ficaria,,2019-01-01 00:01:00+00,
100,Tor Finlandia,,2019-01-01 00:01:00+00,
101,Tor Freesia,,2019-01-01 00:01:00+00,
102,Tor Jutlandia,,2019-01-01 00:01:00+00,
103,Ulysses,,2019-01-01 00:01:00+00,
104,Valentine,,2019-01-01 00:01:00+00,
105,Vespertine,,2019-01-01 00:01:00+00,
106,Victorine,,2019-01-01 00:01:00+00,
