id,method,pressure,nerve,validfrom,validto,updatedby
1,Mandibular angle,t,f,2019-01-01 00:01:00+00,,
2,Brachial plex origin,t,f,2019-01-01 00:01:00+00,,
3,Hypoglossal,t,f,2019-01-01 00:01:00+00,,
4,Sub calavian,t,f,2019-01-01 00:01:00+00,,
5,Brachial plex tie,t,f,2019-01-01 00:01:00+00,,
6,Knee strike,f,t,2019-01-01 00:01:00+00,,
7,Sweeping kick,f,t,2019-01-01 00:01:00+00,,
8,Bottom fist,f,t,2019-01-01 00:01:00+00,,
9,Palm heel,f,t,2019-01-01 00:01:00+00,,
10,Elbow,f,t,2019-01-01 00:01:00+00,,
11,Head butt,f,t,2019-01-01 00:01:00+00,,
12,Punch,f,t,2019-01-01 00:01:00+00,,
