id,name,validfrom,validto
1,Atheism,2019-01-01 00:01:00+00,
2,Candomble,2019-01-01 00:01:00+00,
3,Islam,2019-01-01 00:01:00+00,
4,Judaism,2019-01-01 00:01:00+00,
5,Rastafari,2019-01-01 00:01:00+00,
6,Sikhism,2019-01-01 00:01:00+00,
7,Unitarianism,2019-01-01 00:01:00+00,
8,Baha'i,2019-01-01 00:01:00+00,
9,Christian,2019-01-01 00:01:00+00,
10,Jainism,2019-01-01 00:01:00+00,
11,Mormonism,2019-01-01 00:01:00+00,
12,Santeria,2019-01-01 00:01:00+00,
13,Spiritualism,2019-01-01 00:01:00+00,
14,Zoroastrianism,2019-01-01 00:01:00+00,
15,Buddhism,2019-01-01 00:01:00+00,
16,Hinduism,2019-01-01 00:01:00+00,
17,Jehovah's Witness,2019-01-01 00:01:00+00,
18,Pagansim,2019-01-01 00:01:00+00,
19,Shinto,2019-01-01 00:01:00+00,
20,Taoism,2019-01-01 00:01:00+00,
21,None,2019-01-01 00:01:00+00,
22,Other,2019-01-01 00:01:00+00,
23,Not specified,2019-01-01 00:01:00+00,
